asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,Revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt,
B0CJMP7WHH,"First Alert Smoke Alarm, Battery-Operated Detector with Test & Silence Button, SMI100, 1-Pack",16.99,4.5,23000,Unknown,Tools & Home Improvement,45,Smoke Detectors & Fire Alarms,1,,,3,6,AMZ,789519.17,30123,https://www.amazon.com/dp/B0CJMP7WHH,https://m.media-amazon.com/images/I/61GUtvUotTL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.733Z,
B00002ND64,"Kidde, FA110G, Multi Purpose Fire Extinguisher for Home, Office, Dorm, Residential, 1A10BC",24.97,4.8,28300,Unknown,Tools & Home Improvement,46,Fire Extinguishers,1,,,4,17,AMZ,999680.4,25343,https://www.amazon.com/dp/B00002ND64,https://m.media-amazon.com/images/I/61l6HshoxLL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.733Z,
B08TYT543Y,"Prepared Hero Emergency Fire Blanket - 2 Pack - Fire Suppression for Kitchen, 40” x 40” Fiberglass Fire Blanket for Home",39.98,4.8,30700,USA,Tools & Home Improvement,87,Fire Safety,5,,,5,1,FBA,1986016.3,51251,https://www.amazon.com/dp/B08TYT543Y,https://m.media-amazon.com/images/I/71Ja4j-hJML._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.734Z,
B0DH5CM2CC,"2-Pack Fire Extinguisher for Home, Kitchen, Car, and Grill with Mounting Bracket– Extinguishing Spray, Compact A, B, C, K – Eco-Friendly, Prevents Reignition.",19.8,4.7,1200,China,Tools & Home Improvement,510,Fire Extinguishers,3,,,1,1,FBA,211599.37,11345,https://www.amazon.com/dp/B0DH5CM2CC,https://m.media-amazon.com/images/I/71rRnzqT3+L._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.734Z,
B0GCZBJSZQ,"6 in1 Carbon Monoxide Detector Combo with HD Screen Monoxide Alarm, Detects CO, Natural Gas, Smoke, Temperature, and Humidity for Home, Apartment, Hotel, Camping RV Safety Gifts Idea",35.99,4.5,45,China,Tools & Home Improvement,215,Smoke & Carbon Monoxide Alarms,3,,,3,1,FBA,20877.21,365,https://www.amazon.com/dp/B0GCZBJSZQ,https://m.media-amazon.com/images/I/71UtS2JbLnL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.734Z,
B0CX6PRPGY,"Kidde Smoke Detector, 10-Year Battery Powered, with LED Status Lights, 85 dB Alarm, 5-inches",29.22,4.4,15800,Unknown,Tools & Home Improvement,221,Smoke Detectors & Fire Alarms,3,,,6,1,AMZ,232925.29,1944,https://www.amazon.com/dp/B0CX6PRPGY,https://m.media-amazon.com/images/I/710QWA4Qi5L._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.734Z,
B0CJMMVST2,"First Alert SMCO210, 10-Year Sealed Battery Combination Smoke & Carbon Monoxide Alarm with Slim Profile Design, 1-Pack",39.4,4.2,7500,Unknown,Tools & Home Improvement,371,Smoke & Carbon Monoxide Alarms,6,,,4,15,FBA,356082.98,8371,https://www.amazon.com/dp/B0CJMMVST2,https://m.media-amazon.com/images/I/6133EaBjygL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.735Z,
B0C5M773VW,"SecuCaptain Emergency Fire Blanket for Home and Kitchen - 2 Pack 40""x40"" Flame Suppression Fiberglass Fire Blankets for House Camping Car Office Warehouse Emergency Survival Safety",12.06,4.8,8600,China,Tools & Home Improvement,433,Fire Safety,21,,,7,2,FBA,383170.92,17352,https://www.amazon.com/dp/B0C5M773VW,https://m.media-amazon.com/images/I/81EUyYcaxFL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.735Z,
B0DDW7NL1K,"Kidde Hardwired Smoke & Carbon Monoxide Detector, AA Battery Backup Smoke Alarm, Interconnectable, LED Warning Light Indicators, 2 Pack",104.98,4.4,2500,Unknown,Tools & Home Improvement,284,Smoke & Carbon Monoxide Alarms,4,,,4,3,AMZ,223544.46,2827,https://www.amazon.com/dp/B0DDW7NL1K,https://m.media-amazon.com/images/I/71NDTXguf8L._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.735Z,
B09P9K8K2J,"First Alert Home1-2, Standard Home Fire Extinguisher, Red, 2PACK",36.98,4.8,48800,Unknown,Tools & Home Improvement,313,Fire Extinguishers,2,,,5,3,AMZ,301783.1,8523,https://www.amazon.com/dp/B09P9K8K2J,https://m.media-amazon.com/images/I/71caBYmfQoL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.736Z,
B0CX6BWRMM,"Kidde Smoke and Carbon Monoxide Detector, 10-Year Battery Powered, LED Status Lights, 85 dB Alarm, 5-inches",60,4.4,4100,Unknown,Tools & Home Improvement,305,Smoke & Carbon Monoxide Alarms,5,,,6,1,AMZ,112214.2,1348,https://www.amazon.com/dp/B0CX6BWRMM,https://m.media-amazon.com/images/I/717N7VwR2gL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.736Z,
B07B4CG1PG,"First Alert 9120B Smoke Detector, Hardwired Alarm with Battery Backup, 3-Pack",52.39,4.6,6700,USA,Tools & Home Improvement,104,Smoke Detectors & Fire Alarms,2,,,6,7,FBA,657772.22,13723,https://www.amazon.com/dp/B07B4CG1PG,https://m.media-amazon.com/images/I/61LPi-3y2tL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.736Z,
B07B9BNN24,"First Alert Fire Extinguisher for Home & Commercial Use, Heavy Duty Rechargeable Compliance Unit, UL RATED 2-A:10-B:C, HOME2PRO, Red, 1-Pack",44.98,4.8,9900,Unknown,Tools & Home Improvement,727,Fire Extinguishers,4,,,3,12,AMZ,351852.8,6396,https://www.amazon.com/dp/B07B9BNN24,https://m.media-amazon.com/images/I/5145UYCSGoL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.737Z,
B00O8MVW3U,"BRK First Alert 9120BFF/ SMI100-AC Smoke Detector, Hardwired Alarm with Battery Backup, White, 1-Pack",20.96,4.6,18900,USA,Tools & Home Improvement,1077,Smoke Detectors & Fire Alarms,6,,,1,17,FBA,84188.82,4052,https://www.amazon.com/dp/B00O8MVW3U,https://m.media-amazon.com/images/I/71FMyNMOalL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.737Z,
B0CJMQH3WJ,"First Alert Smoke Alarm, 10-Year Sealed Battery Detector with Test & Silence Button, SMI110, 1-Pack",24.99,4.4,8000,Unknown,Tools & Home Improvement,1428,Smoke Detectors & Fire Alarms,9,,,2,2,AMZ,73366.05,2878,https://www.amazon.com/dp/B0CJMQH3WJ,https://m.media-amazon.com/images/I/71UD83zU2SL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.737Z,
B0DDW98CGJ,"Kidde Hardwired Smoke Detector, AA Battery Backup, Interconnectable, LED Warning Light Indicators, 4 Pack",99.97,4.6,19000,Unknown,Tools & Home Improvement,363,Smoke Detectors & Fire Alarms,4,,,6,2,AMZ,105415.71,2597,https://www.amazon.com/dp/B0DDW98CGJ,https://m.media-amazon.com/images/I/71rzOXtKNXL._AC_UL320_.jpg,false,false,1,2026-01-28T11:48:08.738Z,
B0DH5X7962,"Fire Extinguisher for Home, Car, Kitchen, and Boat 3-Pack, Portable Extinguishing Aerosol Spray Compact A, B, C, K – Includes Mounting Brackets for Easy Access.",24.9,4.7,686,China,Tools & Home Improvement,1830,Fire Extinguishers,6,,,3,1,FBA,33559.1,1348,https://www.amazon.com/dp/B0DH5X7962,https://m.media-amazon.com/images/I/71afF0k96jL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.738Z,
B0DJ1M79C4,"Fire Extinguisher for Home 1Pack, Kitchen, Car, and Grill,Compact Water-Based A, B, C, K Extinguisher with 6-Year Warranty and Easy Storage.",11.86,4.7,610,China,Tools & Home Improvement,2107,Fire Extinguishers,9,,,3,1,FBA,16265.96,1614,https://www.amazon.com/dp/B0DJ1M79C4,https://m.media-amazon.com/images/I/61oOdN0BS6L._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.738Z,
B0CJMP11MB,"First Alert SM210, 10-Year Sealed Battery Smoke Alarm with Slim Profile Design, 1-Pack",26.98,4,5300,Unknown,Tools & Home Improvement,1386,Smoke Detectors & Fire Alarms,8,,,4,4,FBA,84388.37,2851,https://www.amazon.com/dp/B0CJMP11MB,https://m.media-amazon.com/images/I/51Uj3vxQczL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.739Z,
B0DBZWGX37,"2 Packs Combination Natural-Gas and Carbon-Monoxide-Detector,Koabbit 4-in-1 CO/LPG/LNG Explosive Gas Detector Alarm with Temperature(°F) & Humidity for Home,RV,Hotel,Apartment",55.99,4.4,892,China,Tools & Home Improvement,719,Carbon Monoxide Detectors,10,,,4,1,FBA,214384.42,4116,https://www.amazon.com/dp/B0DBZWGX37,https://m.media-amazon.com/images/I/61HF85piZWL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.739Z,
B0CX6BTBWL,"Kidde Hardwired Smoke Detector, 10-Year Battery Backup, Interconnectable, LED Warning Light Indicators, 20SA10",37.79,4.2,1800,Unknown,Tools & Home Improvement,627,Smoke Detectors & Fire Alarms,5,,,4,1,AMZ,758569.36,9532,https://www.amazon.com/dp/B0CX6BTBWL,https://m.media-amazon.com/images/I/719ckatHhhL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.739Z,
B0CLVRM95Q,First Alert SMCO100 Battery-Operated Combination Smoke & Carbon Monoxide Alarm - 3 Pack,108.79,4.6,28100,Unknown,Tools & Home Improvement,1156,Smoke & Carbon Monoxide Alarms,11,,,3,3,FBA,636170.79,10227,https://www.amazon.com/dp/B0CLVRM95Q,https://m.media-amazon.com/images/I/71cOl648VjL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.740Z,
B0FC69H96X,"Smoke Alarm Fire Detector,Battery Operated Photoelectric Smoke Detector with Test Button and Low Battery Warning, Fire Alarms Smoke Detectors for Home, 6 Pack",52.99,4.8,161,China,Tools & Home Improvement,1782,Smoke Detectors & Fire Alarms,10,,,1,1,FBA,116848.01,2225,https://www.amazon.com/dp/B0FC69H96X,https://m.media-amazon.com/images/I/71tEHgITQvL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.740Z,
B0CLVQF7MC,First Alert SMICO100-AC Interconnect Hardwire Combination Smoke & Carbon Monoxide Alarm with Battery Backup - 3 Pack,152.32,4.6,27800,Unknown,Tools & Home Improvement,177,Smoke & Carbon Monoxide Alarms,2,Carbon Monoxide Detectors,19,8,15,FBA,1084787.75,9534,https://www.amazon.com/dp/B0CLVQF7MC,https://m.media-amazon.com/images/I/81szIilT2dL._AC_UL320_.jpg,true,false,1,2026-01-28T11:48:08.741Z,
B0F7N7WGWY,"Kidde Smart Smoke and Carbon Monoxide Detector, Ring App Enabled for Real-Time Notifications, Hardwired Alarm, AA Backup Battery",74.97,4.4,142,Unknown,Tools & Home Improvement,1147,,,,,3,2,AMZ,220833.51,3429,https://www.amazon.com/dp/B0F7N7WGWY,https://m.media-amazon.com/images/I/61ot21QFMfL._AC_UL320_.jpg,true,true,1,2026-01-28T11:48:08.741Z,
B0DHGRDCLP,Ougist ABC Dry Powder Fire Extinguisher 2.5 lb 1‑A:10‑B:C Rated with Quick‑Release Handle for Home Kitchen Vehicle Safety Model FF1KG,32.99,4.9,40,China,Tools & Home Improvement,40511,Fire Extinguishers,51,,,1,1,FBA,5871.33,196,https://www.amazon.com/dp/B0DHGRDCLP,https://m.media-amazon.com/images/I/61GbTJRX0BL._AC_UL320_.jpg,true,true,1,2026-01-28T11:48:08.741Z,
B0GD15M4NR,"Flammable Storage Cabinet 40 Gallon, 35""W x 23""D x 18""H Fire Cabinet with Adjustable Shelf, Double-Wall Steel Hazardous Storage Cabinet for Chemical Storage, Industrial Safety Cabinet,Vohala（Red）",246,,,China,Industrial & Scientific,349142,Hazardous Storage Cabinets,109,,,9,1,N/A,N/A,N/A,https://www.amazon.com/dp/B0GD15M4NR,https://m.media-amazon.com/images/I/61oHqeqbMGL._AC_UL320_.jpg,false,true,1,2026-01-28T11:48:08.742Z,
B07MXDMRNC,"DIBBATU Fire Blanket for Home and Kitchen, Fire Blankets Emergency for Home, Emergency Fire Blankets Retardant for House, Fireproof Blanket, Survival FireBlanket for Kitchen,Fireplace, Grill, BBQ",11.99,4.8,7400,China,Tools & Home Improvement,2082,Fire Extinguishers,8,,,4,2,FBA,51082.49,2074,https://www.amazon.com/dp/B07MXDMRNC,https://m.media-amazon.com/images/I/71tv1EYU-dL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.461Z,
B0C634VLTV,"Kidde Fire Extinguisher for Kitchen, Residential, Single-Use, 711A",21.21,4.7,1000,Unknown,Tools & Home Improvement,2546,Fire Extinguishers,11,,,3,1,AMZ,52117.66,2457,https://www.amazon.com/dp/B0C634VLTV,https://m.media-amazon.com/images/I/71wk6b0MbmL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.461Z,
B002RRIKT2,"Chimfex by Orion Safety Products - CSIA Approved Chimney Fire Suppressant - Safe, Quick and Easy - Stops Chimney Fires in Homes in Under 22 Seconds",25.86,4.7,1000,USA,Tools & Home Improvement,2404,Fire Extinguishers,10,,,1,6,MERCH,43707.39,1648,https://www.amazon.com/dp/B002RRIKT2,https://m.media-amazon.com/images/I/71I6cIInD6L._AC_UL320_.jpg,false,false,2,2026-01-28T11:51:48.463Z,
B0DS2W3794,"First Alert SC5 Battery Smart Smoke & Carbon Monoxide Alarm, SMCO600NV, 1-Pack",113.08,3,457,Unknown,Tools & Home Improvement,1253,Smoke & Carbon Monoxide Alarms,20,,,2,16,FBA,370487.24,3269,https://www.amazon.com/dp/B0DS2W3794,https://m.media-amazon.com/images/I/41nlZGW22cL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.463Z,
B0CJVPY572,"Fire Extinguisher 2-Pack with Mounting Bracket for Home, Kitchen, Car, Grill - Portable Small A, B, C, K Fire Extinguisher - 8-in-1 - Prevents Reignition.",13.5,4.7,1500,China,Tools & Home Improvement,3012,Fire Extinguisher Mounts & Brackets,1,,,1,1,FBA,54322.38,3558,https://www.amazon.com/dp/B0CJVPY572,https://m.media-amazon.com/images/I/71ZDc1jcbwL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.463Z,
B07B923D27,"Hausse Retractable 2 Story Fire Escape Ladder, 13 Feet",69.99,4.6,1400,USA,Tools & Home Improvement,3471,Extension Ladders,1,Fire Escape Ladders,1,1,2,FBA,171365.94,2428,https://www.amazon.com/dp/B07B923D27,https://m.media-amazon.com/images/I/61ct31tsT9L._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.464Z,
B0FBWDM9RK,"2 Pack Smoke Detector, Photoelectric Sensor Battery-powered Fire Smoke Alarm, LED warning light 85 dB alarm sound, low battery warning, mute and test buttons, suitable for living rooms, bedrooms, etc.",21.99,4.5,194,China,Tools & Home Improvement,1940,Smoke Detectors & Fire Alarms,11,,,6,1,FBA,73128.33,2888,https://www.amazon.com/dp/B0FBWDM9RK,https://m.media-amazon.com/images/I/61DsjLj6kkL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.465Z,
B0CQ4RDZMK,"2 Packs Carbon Monoxide Detectors,CO Detector Battery Powered,Carbon Monoxide Alarm with Sensitive CO Sensor,LCD Display and Sound Warning, for Home, Bedroom, Kitchen",19.99,4.4,1400,China,Tools & Home Improvement,246,Carbon Monoxide Detectors,7,,,3,1,FBA,90228.83,6575,https://www.amazon.com/dp/B0CQ4RDZMK,https://m.media-amazon.com/images/I/61w4D4hGUiL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.465Z,
B0DJPV3DLP,Electrical Fire Prevention Sensor & Service - Residential Use Only - 12 Months of Required Service Included - Home Fire Safety,99,4.5,372,USA,Tools & Home Improvement,2996,Fire Safety,70,,,1,1,MERCH,131621.53,1330,https://www.amazon.com/dp/B0DJPV3DLP,https://m.media-amazon.com/images/I/71kGwlg1ffL._AC_UL320_.jpg,false,false,2,2026-01-28T11:51:48.466Z,
B078HW9GY4,First Alert SC-9120B Hardwired Smoke and Carbon Monoxide Alarm with Battery Backup 2 Pack,113.5,4.7,4400,Canada,Tools & Home Improvement,2870,Smoke Detectors & Fire Alarms,18,,,2,5,MERCH,304901.78,3114,https://www.amazon.com/dp/B078HW9GY4,https://m.media-amazon.com/images/I/51Unh-h60zL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.466Z,
B0CWY4Q63T,"Ougist ABC Fire Extinguisher for Home & Vehicle - 2.5 lb 1-A:10-B:C Rated, Dry Chemical Fire Safety with Quick-Release Handle, Certified for Kitchen/Car/Boat Use-Model FF1KG",35.19,4.7,455,China,Tools & Home Improvement,2021,Fire Extinguishers,7,,,2,2,FBA,90145.82,2368,https://www.amazon.com/dp/B0CWY4Q63T,https://m.media-amazon.com/images/I/61HQjaidobL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.466Z,
B0CGQ2T6R8,"3-Pack Fire Extinguisher for Home, Kitchen, Car, Boat - ABCK Class Extinguisher with Mounting Bracket - Compact & Portable for Emergency Use.",22.9,4.8,1100,China,Tools & Home Improvement,4460,Fire Extinguishers,16,,,1,2,FBA,29192.87,1402,https://www.amazon.com/dp/B0CGQ2T6R8,https://m.media-amazon.com/images/I/71xEeMI47rL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.467Z,
B086S4Y9H5,"Kidde Hardwired Smoke & Carbon Monoxide Detector, Battery Backup, Interconnectable, LED Warning Light Indicators",119.99,4.5,11300,USA,Tools & Home Improvement,3815,Smoke & Carbon Monoxide Alarms,25,Carbon Monoxide Detectors,31,3,2,MERCH,445490.45,2472,https://www.amazon.com/dp/B086S4Y9H5,https://m.media-amazon.com/images/I/61-B9PxPuVL._AC_UL320_.jpg,false,false,2,2026-01-28T11:51:48.467Z,
B0CJC7CJ3L,"3 Packs Smoke and Carbon Monoxide Detector Powered by Battery,Portable Smoke Detector Carbon Monoxide Detector Combo with Large LCD Display, Fire Alarm Smoke Detector for Home,Kitchen",47.19,4.4,1000,China,Tools & Home Improvement,1141,Smoke & Carbon Monoxide Alarms,10,,,4,1,FBA,80285.03,1651,https://www.amazon.com/dp/B0CJC7CJ3L,https://m.media-amazon.com/images/I/61jU3BE9RoL._AC_UL320_.jpg,false,false,2,2026-01-28T11:51:48.468Z,
B0BW34KRX2,"Mondoshop Fire Blankets Emergency for Kitchen Home - Emergency Fire Retardant Blanket for Home Fireproof Blanket for Camping, Grill, Car, Office, Warehouse, School, Picnic, Fireplace",11.99,4.8,4600,China,Tools & Home Improvement,3608,Fire Safety,86,,,12,3,FBA,102789.9,5919,https://www.amazon.com/dp/B0BW34KRX2,https://m.media-amazon.com/images/I/81lze2FyINL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.468Z,
B0CJM4JZ8N,"Fire Blanket for Home and Kitchen,40"" x 40"",4 Pack,Emergency Fire Blanket",21.59,4.8,1900,China,Tools & Home Improvement,3383,Fire Extinguishers,14,,,3,2,FBA,80124.47,3960,https://www.amazon.com/dp/B0CJM4JZ8N,https://m.media-amazon.com/images/I/8157OaB1lwL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.469Z,
B0DLNT12BK,"2 Packs, 2 in 1 CO & Smoke Detectors,Carbon Monoxide Detectors,Smoke Detector Battery Powered,（Include 3 * 1.5V AA Battery）,85 db Smoke Alarm,Fire Alarm,Easy Install,Portable",38.95,4.5,378,China,Tools & Home Improvement,1866,Smoke & Carbon Monoxide Alarms,14,,,3,1,FBA,139924.84,2324,https://www.amazon.com/dp/B0DLNT12BK,https://m.media-amazon.com/images/I/71yeRwioohL._AC_UL320_.jpg,false,false,2,2026-01-28T11:51:48.469Z,
B0CH9VLRYY,"Smoke and Carbon Monoxide Detector, 2 in 1 Smoke Detector, LED Warning Light Indicators, 10 Year Battery (White), 4 Pack",89.99,4.3,200,China,Tools & Home Improvement,5419,Carbon Monoxide Detectors,34,,,2,3,FBA,40858.12,454,https://www.amazon.com/dp/B0CH9VLRYY,https://m.media-amazon.com/images/I/71TXZWBw8WL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.469Z,
B07YYXP3G9,"Kidde Fire Extinguisher for Boats, Single-Use 5BC",18.98,4.8,2400,Unknown,Tools & Home Improvement,2726,Fire Extinguishers,12,,,6,3,AMZ,60546.87,2500,https://www.amazon.com/dp/B07YYXP3G9,https://m.media-amazon.com/images/I/61n9ZfVVqQL._AC_UL320_.jpg,true,false,2,2026-01-28T11:51:48.470Z,
